date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2023-06-30,3178.92,3212.99,3202.06,3177.99,2653798.75,19.68,0.62,3182.776,3213.426,3216.55,2775372.05,2947614.65,2952329.19
2023-06-29,3185.42,3196.5,3182.38,3179.53,2503400.75,-7.0,-0.22,3181.944,3216.119,3216.675,2833367.05,2985772.03,2966925.93
2023-06-28,3183.49,3192.66,3189.38,3157.12,2762319.5,-0.06,-0.0,3193.54,3221.248,3218.766,2929208.1,3016060.4,2993522.11
2023-06-27,3153.31,3194.41,3189.44,3148.27,2876043.25,38.82,1.23,3206.826,3225.193,3220.37,3032250.3,3053612.9,3004100.88
2023-06-26,3177.23,3181.08,3150.62,3144.25,3081298.0,-47.28,-1.48,3223.604,3229.39,3221.523,3109605.35,3080164.08,2991148.95
2023-06-21,3230.11,3236.36,3197.9,3197.9,2943773.75,-42.46,-1.31,3244.076,3235.687,3224.055,3119857.25,3065565.03,2978878.51
2023-06-20,3252.54,3252.84,3240.36,3237.79,2982606.0,-15.45,-0.47,3250.294,3235.673,3224.397,3138177.0,3029251.05,2976049.95
2023-06-19,3271.16,3271.16,3255.81,3251.78,3277530.5,-17.52,-0.54,3248.956,3231.171,3224.691,3102912.7,3039276.33,2964559.19
2023-06-16,3256.3,3276.55,3273.33,3255.5,3262818.5,20.35,0.63,3243.56,3228.834,3226.724,3074975.5,2989583.48,2937627.66
2023-06-15,3230.45,3252.98,3252.98,3229.15,3132557.5,23.99,0.74,3235.176,3224.508,3227.235,3050722.8,2957968.73,2917188.78
2023-06-14,3238.12,3248.46,3228.99,3226.77,3035372.5,-4.68,-0.14,3227.298,3219.673,3229.452,3011272.8,2957043.73,2915544.64
2023-06-13,3223.9,3235.09,3233.67,3215.5,2806284.5,4.84,0.15,3221.052,3217.23,3232.214,2920325.1,2948079.83,2906648.04
2023-06-12,3225.3,3239.44,3228.83,3210.71,3137844.5,-2.58,-0.08,3213.386,3216.284,3235.08,2975639.95,2970983.83,2927573.51
2023-06-09,3213.03,3231.41,3231.41,3206.1,3141555.0,17.82,0.56,3214.108,3215.546,3239.175,2904191.45,2954588.85,2964704.23
2023-06-08,3194.83,3225.53,3213.59,3180.54,2935307.5,15.83,0.49,3213.84,3213.655,3241.223,2865214.65,2902133.83,2981283.96
2023-06-07,3197.47,3210.33,3197.76,3188.01,2580634.0,2.42,0.08,3212.048,3212.422,3246.021,2902814.65,2892192.0,3011647.73
2023-06-06,3228.41,3247.35,3195.34,3189.27,3082858.75,-37.1,-1.15,3213.408,3213.121,3252.09,2975834.55,2922848.85,3108485.9
2023-06-05,3231.81,3244.18,3232.44,3221.63,2780602.0,2.37,0.07,3219.182,3218.211,3260.207,2966327.7,2889842.05,3240849.61
2023-06-02,3212.45,3233.99,3230.07,3211.74,2946671.0,25.44,0.79,3216.984,3224.614,3268.335,3004986.25,2885671.85,3368871.34
2023-06-01,3196.15,3225.09,3204.63,3189.52,3123307.5,0.07,0.0,3213.47,3229.961,3273.556,2939053.0,2876408.83,3439790.04
2023-05-31,3214.66,3216.36,3204.56,3190.27,2945733.5,-19.65,-0.61,3212.796,3239.23,3280.848,2881569.35,2874045.55,3525307.11
2023-05-30,3214.67,3230.63,3224.21,3186.63,3035324.5,2.76,0.09,3212.834,3247.197,3286.783,2869863.15,2865216.25,3578797.83
2023-05-29,3219.76,3230.97,3221.45,3208.96,2973894.75,8.95,0.28,3217.24,3253.875,3289.867,2813356.4,2884163.2,3597826.86
2023-05-26,3198.88,3220.77,3212.5,3179.82,2617004.75,11.24,0.35,3232.244,3262.804,3291.999,2766357.45,2974819.6,3628091.05
2023-05-25,3197.36,3207.02,3201.26,3168.57,2835889.25,-3.49,-0.11,3246.452,3268.79,3294.618,2813764.65,3060434.1,3687688.68
2023-05-24,3237.7,3237.7,3204.75,3204.38,2887202.5,-41.49,-1.28,3265.664,3279.619,3298.325,2866521.75,3131103.45,3723022.03
2023-05-23,3294.79,3298.23,3246.24,3246.24,2752790.75,-50.23,-1.52,3281.56,3291.059,3303.151,2860569.35,3294122.95,3772359.45
2023-05-22,3278.6,3308.53,3296.47,3276.54,2738900.0,12.93,0.39,3290.51,3302.202,3309.19,2954970.0,3591857.18,3809897.4
2023-05-19,3288.89,3302.34,3283.54,3268.22,2854040.75,-13.78,-0.42,3293.364,3312.055,3312.873,3183281.75,3852070.83,3846014.13
2023-05-18,3288.41,3313.86,3297.32,3284.17,3099674.75,13.09,0.4,3291.128,3317.151,3318.363,3307103.55,4003171.25,3877511.83
2023-05-17,3281.97,3298.52,3284.23,3269.89,2857440.5,-6.76,-0.2,3293.574,3322.465,3322.777,3395685.15,4176568.68,3923933.05
2023-05-16,3310.16,3317.9,3290.99,3282.49,3224794.0,-19.75,-0.6,3300.558,3326.369,3325.473,3727676.55,4292379.4,3950210.66
2023-05-15,3269.88,3310.74,3310.74,3235.87,3880458.75,38.38,1.17,3313.894,3325.858,3326.842,4228744.35,4311490.53,3962902.01
2023-05-12,3304.46,3319.13,3272.36,3271.43,3473149.75,-37.19,-1.12,3330.746,3321.194,3327.664,4520859.9,4281362.5,3940391.74
2023-05-11,3323.66,3333.25,3309.55,3307.29,3542582.75,-9.6,-0.29,3343.174,3320.445,3329.724,4699238.95,4314943.25,3927017.28
2023-05-10,3347.7,3349.72,3319.15,3305.25,4517397.5,-38.52,-1.15,3351.356,3317.031,3330.015,4957452.2,4314940.6,3920298.06
2023-05-09,3402.39,3418.95,3357.67,3356.12,5730133.0,-37.33,-1.1,3352.18,3315.242,3330.44,4857082.25,4250595.95,3835944.31
2023-05-08,3340.99,3400.18,3395.0,3340.99,5341036.5,60.5,1.81,3337.822,3316.178,3328.188,4394236.7,4027937.63,3713015.38
2023-05-05,3350.65,3364.14,3334.5,3321.19,4365045.0,-15.96,-0.48,3311.642,3313.691,3324.066,4041865.1,3839957.43,3638899.36
