date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2023-06-30,2178.53,2227.99,2215.0,2171.42,14188292.0,34.94,1.6,2191.048,2221.148,2194.886,13525018.8,15410223.1,14992608.45
2023-06-29,2178.88,2194.25,2180.06,2178.43,12815013.0,-2.04,-0.09,2190.416,2215.982,2193.807,14108262.0,15415187.1,15011451.4
2023-06-28,2184.99,2189.02,2182.1,2160.19,13466947.0,-9.73,-0.44,2208.688,2214.672,2195.734,14711946.8,15519129.8,15188098.15
2023-06-27,2186.16,2205.56,2191.83,2179.32,11361554.0,5.58,0.26,2225.304,2211.704,2196.821,15339327.8,15617830.2,15270573.0
2023-06-26,2185.15,2212.41,2186.25,2171.59,15793288.0,-25.59,-1.16,2240.95,2206.822,2198.693,16624435.4,16321681.6,15283190.45
2023-06-21,2260.5,2266.76,2211.84,2211.84,17104508.0,-59.58,-2.62,2251.248,2200.593,2201.589,17295427.4,16188191.1,15193985.45
2023-06-20,2264.18,2277.33,2271.42,2257.88,15833437.0,6.24,0.28,2241.548,2192.399,2203.26,16722112.2,15802403.2,14922609.4
2023-06-19,2271.76,2276.56,2265.18,2257.64,16603852.0,-4.88,-0.21,2220.656,2181.738,2202.356,16326312.8,15621054.9,14673014.3
2023-06-16,2243.54,2272.02,2270.06,2234.48,17787092.0,32.32,1.44,2198.104,2175.434,2203.104,15896332.6,15273653.6,14404723.8
2023-06-15,2174.54,2237.74,2237.74,2174.54,19148248.0,74.4,3.44,2172.694,2171.755,2203.531,16018927.8,14939343.0,14163668.35
2023-06-14,2175.92,2177.8,2163.34,2163.34,14237932.0,-3.62,-0.17,2149.938,2168.624,2205.542,15080954.8,14574993.8,13906535.0
2023-06-13,2148.39,2169.66,2166.96,2147.56,13854440.0,14.54,0.68,2143.25,2171.631,2212.057,14882694.2,14607715.7,13824244.1
2023-06-12,2135.88,2162.53,2152.42,2131.12,14453951.0,9.41,0.44,2142.82,2176.795,2218.419,14915797.0,14857066.5,13891416.35
2023-06-09,2122.16,2143.01,2143.01,2118.79,18400068.0,19.05,0.9,2152.764,2181.937,2225.794,14650974.6,14923315.8,14032957.5
2023-06-08,2136.02,2139.96,2123.96,2118.33,14458383.0,-5.94,-0.28,2170.816,2190.563,2231.263,13859758.2,14244699.3,13857876.4
2023-06-07,2159.16,2162.56,2129.9,2124.52,13246629.0,-34.91,-1.61,2187.31,2202.585,2238.893,14069032.8,14199779.8,13924794.7
2023-06-06,2196.98,2197.58,2164.81,2162.72,14019954.0,-37.33,-1.7,2200.012,2214.121,2245.509,14332737.2,14042815.6,14133016.15
2023-06-05,2226.2,2226.59,2202.14,2195.66,13129839.0,-31.13,-1.39,2210.77,2222.973,2249.56,14798336.0,13724973.7,14521870.45
2023-06-02,2213.77,2240.57,2233.27,2211.98,14443986.0,26.84,1.22,2211.11,2230.774,2253.123,15195657.0,13535794.0,14731559.3
2023-06-01,2191.8,2225.13,2206.43,2184.92,15504756.0,13.02,0.59,2210.31,2235.306,2254.841,14629640.4,13387993.7,14867214.3
2023-05-31,2215.27,2215.49,2193.41,2183.42,14565151.0,-25.19,-1.14,2217.86,2242.46,2259.403,14330526.8,13238076.2,14990370.7
2023-05-30,2200.8,2218.6,2218.6,2180.7,16347948.0,14.76,0.67,2228.23,2252.483,2265.968,13752894.0,13040772.5,15238047.95
2023-05-29,2236.98,2238.4,2203.84,2196.06,15116444.0,-25.43,-1.14,2235.176,2260.042,2270.402,12651611.4,12925766.2,15387843.35
2023-05-26,2244.34,2244.34,2229.27,2215.29,11613903.0,-14.91,-0.66,2250.438,2269.651,2274.913,11875931.0,13142599.2,15754818.75
2023-05-25,2245.31,2257.22,2244.18,2228.84,14009188.0,-1.08,-0.05,2260.302,2271.962,2276.409,12146347.0,13471053.5,16306753.7
2023-05-24,2245.47,2268.86,2245.26,2239.9,11676987.0,-8.07,-0.36,2267.06,2275.201,2279.262,12145625.6,13649809.6,16662451.6
2023-05-23,2282.9,2284.07,2253.33,2253.33,10841535.0,-26.82,-1.18,2276.736,2276.897,2284.058,12328651.0,14223216.7,17129969.25
2023-05-22,2278.71,2291.33,2280.15,2265.76,11238042.0,1.56,0.07,2284.908,2276.146,2290.725,13199921.0,15318767.2,17535812.4
2023-05-19,2275.8,2293.1,2278.59,2270.39,12965983.0,0.62,0.03,2288.864,2275.471,2297.506,14409267.4,15927324.6,17862365.6
2023-05-18,2299.63,2300.62,2277.97,2264.84,14005581.0,-15.67,-0.68,2283.622,2274.375,2305.131,14795760.0,16346434.9,18153495.85
2023-05-17,2293.55,2300.29,2293.64,2281.17,12592114.0,-0.55,-0.02,2283.342,2276.345,2312.955,15153993.6,16742665.2,18346319.6
2023-05-16,2300.8,2307.17,2294.19,2286.23,15197885.0,-5.74,-0.25,2277.058,2279.453,2319.677,16117782.4,17435323.4,18638632.6
2023-05-15,2259.17,2299.93,2299.93,2257.82,17284774.0,47.55,2.11,2267.384,2280.761,2325.256,17437613.4,17849920.5,18849450.55
2023-05-12,2277.42,2287.47,2252.38,2251.76,14898446.0,-24.19,-1.06,2262.078,2280.174,2331.724,17445381.8,18367038.3,19016711.65
2023-05-11,2264.9,2296.45,2276.57,2264.86,15796749.0,14.35,0.63,2265.128,2280.855,2341.075,17897109.8,19142453.9,19233390.05
2023-05-10,2241.44,2273.68,2262.22,2228.18,17411058.0,16.4,0.73,2269.348,2283.322,2349.422,18331336.8,19675093.6,19560880.3
2023-05-09,2270.76,2277.29,2245.82,2245.72,21797040.0,-27.58,-1.21,2281.848,2291.219,2358.659,18752864.4,20036721.8,19652109.8
2023-05-08,2274.72,2277.23,2273.4,2251.77,17323616.0,5.77,0.25,2294.138,2305.304,2367.696,18262227.6,19752857.6,19645756.0
2023-05-05,2291.24,2293.84,2267.63,2260.64,17157086.0,-30.04,-1.31,2298.27,2319.54,2375.109,19288694.8,19797406.6,20096995.4
2023-05-04,2316.33,2319.83,2297.67,2290.92,17967884.0,-27.05,-1.16,2296.582,2335.887,2383.738,20387798.0,19960556.8,20760947.9
2023-04-28,2309.35,2328.89,2324.72,2303.31,19518696.0,17.45,0.76,2297.296,2349.564,2388.829,21018850.4,19949974.0,20740965.3
2023-04-27,2283.63,2315.32,2307.27,2281.6,19343856.0,13.21,0.58,2300.59,2359.901,2391.745,21320579.2,19841941.8,20462259.25
2023-04-26,2249.53,2306.66,2294.06,2247.95,22455952.0,34.87,1.54,2316.47,2369.75,2394.941,21243487.6,19848980.6,20305921.6
2023-04-25,2302.86,2305.92,2259.19,2243.83,22652602.0,-42.05,-1.83,2340.81,2383.273,2398.697,20306118.4,19666385.0,20057290.2
2023-04-24,2337.38,2340.26,2301.24,2288.78,21123146.0,-39.95,-1.71,2375.192,2401.294,2405.638,19533315.6,19324326.2,20031816.1
2023-04-21,2393.19,2400.79,2341.19,2340.61,21027340.0,-45.48,-1.91,2401.832,2415.522,2409.095,18881097.6,19446667.0,19948788.5
2023-04-20,2414.01,2414.01,2386.67,2378.05,18958398.0,-29.09,-1.2,2419.212,2426.098,2410.106,18363304.4,19267497.8,19823503.2
2023-04-19,2429.33,2429.33,2415.76,2413.34,17769106.0,-15.34,-0.63,2423.03,2430.088,2407.869,18454473.6,19538654.4,19936148.2
2023-04-18,2428.18,2443.77,2431.1,2423.93,18788588.0,-3.34,-0.14,2425.736,2430.677,2403.944,19026651.6,20396584.2,19799951.35
2023-04-17,2420.01,2440.73,2434.44,2420.01,17862056.0,6.35,0.26,2427.396,2431.588,2396.985,19115336.8,21561339.0,19737651.65
2023-04-14,2409.77,2432.36,2428.09,2409.6,18438374.0,22.33,0.93,2429.212,2428.094,2389.946,20012236.4,21531956.6,19668604.15
2023-04-13,2418.27,2426.83,2405.76,2403.92,19414244.0,-23.53,-0.97,2432.984,2423.589,2383.644,20171691.2,21082576.7,19414818.25
2023-04-12,2436.89,2440.33,2429.29,2417.28,20629996.0,-10.11,-0.41,2437.146,2420.132,2380.229,20622835.2,20762862.6,19008741.2
2023-04-11,2449.27,2463.27,2439.4,2426.67,19232014.0,-4.12,-0.17,2435.618,2414.12,2375.92,21766516.8,20448195.4,18644157.1
2023-04-10,2457.19,2461.3,2443.52,2432.05,22346554.0,-3.43,-0.14,2435.78,2409.982,2371.804,24007341.2,20739306.0,18295208.25
2023-04-07,2421.75,2454.04,2446.95,2421.06,19235648.0,20.38,0.84,2426.976,2402.668,2368.146,23051676.8,20450910.0,17759188.6
2023-04-06,2404.26,2428.8,2426.57,2402.3,21669964.0,4.92,0.2,2414.194,2394.114,2364.432,21993462.2,20379508.6,17331051.5
2023-04-04,2441.43,2442.57,2421.65,2407.48,26348404.0,-18.56,-0.76,2403.118,2385.649,2361.983,20902890.0,20333642.0,16742142.3
2023-04-03,2406.14,2442.97,2440.21,2406.14,30436136.0,40.71,1.7,2392.622,2377.21,2360.087,19129874.0,19203318.5,16075759.8
2023-03-31,2386.86,2402.55,2399.5,2385.41,17568232.0,16.46,0.69,2384.184,2362.381,2359.654,17471270.8,17913964.3,15191510.45
2023-03-30,2370.73,2384.96,2383.04,2362.66,13944575.0,11.85,0.5,2378.36,2351.798,2360.801,17850143.2,17805251.7,14866138.65
2023-03-29,2371.3,2382.0,2371.19,2367.38,16217103.0,2.02,0.09,2374.034,2343.699,2362.579,18765555.0,17747059.8,14808855.95
2023-03-28,2389.85,2389.92,2369.17,2364.63,17483324.0,-28.85,-1.2,2368.18,2340.326,2366.217,19764394.0,17254619.8,14684105.7
2023-03-27,2363.01,2399.44,2398.02,2363.01,22143120.0,27.64,1.17,2361.798,2337.72,2369.21,19276763.0,16840118.8,14350239.6
2023-03-24,2366.43,2373.77,2370.38,2355.74,19462594.0,8.97,0.38,2340.578,2333.625,2369.799,18356657.8,15851110.5,13761532.25
2023-03-23,2330.98,2361.41,2361.41,2327.39,18521634.0,19.49,0.83,2325.236,2333.623,2372.727,17760360.2,15067467.2,13372144.9
2023-03-22,2348.52,2358.63,2341.92,2330.82,21211298.0,4.66,0.2,2313.364,2334.75,2377.53,16728564.6,14282594.4,13031814.5
2023-03-21,2298.28,2337.37,2337.26,2298.28,15045169.0,45.34,1.98,2312.472,2338.316,2383.029,14744845.6,13150642.6,12482828.3
2023-03-20,2291.39,2317.64,2291.92,2280.14,17542594.0,-1.75,-0.08,2313.642,2342.963,2389.657,14403474.6,12948201.1,12322113.45
2023-03-17,2320.2,2324.83,2293.67,2289.28,16481106.0,-8.38,-0.36,2326.672,2356.927,2399.1,13345563.2,12469056.6,12150169.2
2023-03-16,2320.38,2333.31,2302.05,2298.44,13362656.0,-35.41,-1.51,2342.01,2369.804,2406.884,12374574.2,11927025.6,12029476.6
2023-03-15,2359.22,2375.28,2337.46,2335.59,11292703.0,-5.65,-0.24,2356.136,2381.459,2417.407,11836624.2,11870652.1,12249541.9
2023-03-14,2353.21,2356.9,2343.11,2308.93,13338314.0,-13.96,-0.59,2364.16,2392.108,2427.894,11556439.6,12113591.6,12419546.5
2023-03-13,2359.72,2374.97,2357.07,2345.99,12253037.0,-13.29,-0.56,2372.284,2400.7,2438.996,11492927.6,11860360.4,12382345.05
2023-03-10,2366.59,2388.61,2370.36,2354.02,11626161.0,-2.32,-0.1,2387.182,2405.972,2449.801,11592550.0,11671954.0,12497130.15
2023-03-09,2377.97,2386.9,2372.68,2365.86,10672906.0,-4.9,-0.21,2397.598,2411.83,2458.541,11479477.0,11676822.6,12595701.15
2023-03-08,2375.87,2390.07,2377.58,2366.25,9891780.0,-6.15,-0.26,2406.782,2420.31,2468.394,11904680.0,11781034.6,12783066.6
2023-03-07,2423.03,2430.64,2383.73,2383.5,13020754.0,-47.83,-1.97,2420.056,2427.742,2475.809,12670743.6,11815014.0,12884785.25
2023-03-06,2421.42,2435.9,2431.56,2393.92,12751149.0,9.12,0.38,2429.116,2436.35,2483.521,12227793.2,11696025.8,12869823.95
2023-03-03,2423.67,2434.12,2422.44,2405.3,11060796.0,3.84,0.16,2424.762,2441.273,2489.147,11751358.0,11831281.8,12934695.3
2023-03-02,2438.58,2442.19,2418.6,2415.12,12798921.0,-25.35,-1.04,2426.062,2443.964,2497.031,11874168.2,12131927.6,13022666.85
2023-03-01,2428.1,2449.44,2443.95,2415.95,13722098.0,14.92,0.61,2433.838,2453.354,2506.217,11657389.2,12628431.7,13174829.0
2023-02-28,2417.58,2432.32,2429.03,2407.76,10806002.0,19.24,0.8,2435.428,2463.679,2514.704,10959284.4,12725501.4,13263855.3
2023-02-27,2416.43,2432.39,2409.79,2403.65,10368973.0,-19.15,-0.79,2443.584,2477.291,2522.294,11164258.4,12904329.7,13456523.4
2023-02-24,2457.53,2458.29,2428.94,2425.66,11674847.0,-28.54,-1.16,2457.784,2493.63,2532.499,11911205.6,13322306.3,13952684.15
2023-02-23,2450.96,2470.4,2457.48,2446.41,11715026.0,5.58,0.23,2461.866,2505.252,2540.35,12389687.0,13514579.7,13949215.25
2023-02-22,2452.39,2470.5,2451.9,2446.19,10231574.0,-17.91,-0.72,2472.87,2516.477,2546.048,13599474.2,13785098.6,13942235.55
2023-02-21,2473.6,2480.35,2469.81,2452.84,11830872.0,-10.98,-0.44,2491.93,2523.875,2550.648,14491718.4,13954556.5,13930394.75
2023-02-20,2445.64,2481.57,2480.79,2424.63,14103709.0,31.44,1.28,2510.998,2530.691,2554.435,14644401.0,14043622.1,13907030.2
2023-02-17,2508.26,2513.21,2449.35,2449.35,14067254.0,-63.15,-2.51,2529.476,2537.021,2557.372,14733407.0,14038108.8,14129718.75
2023-02-16,2549.43,2567.29,2512.5,2495.16,17763962.0,-34.7,-1.36,2548.638,2550.097,2559.561,14639472.4,13913406.1,14061760.6
2023-02-15,2564.54,2574.58,2547.2,2543.64,14692795.0,-17.95,-0.7,2560.084,2559.079,2556.86,13970723.0,13721226.3,13708846.2
2023-02-14,2585.97,2586.18,2565.15,2551.47,12594285.0,-8.03,-0.31,2555.82,2565.728,2551.799,13417394.6,13802209.2,13602837.45
2023-02-13,2546.14,2576.04,2573.18,2540.85,14548739.0,28.02,1.1,2550.384,2567.297,2547.242,13442843.2,14008717.1,13621272.2
2023-02-10,2567.09,2571.2,2545.16,2531.87,13597581.0,-24.57,-0.96,2544.566,2571.368,2540.601,13342810.6,14583062.0,13581793.05
2023-02-09,2520.83,2569.99,2569.73,2515.51,14420215.0,43.85,1.74,2551.556,2575.448,2534.45,13187339.8,14383850.8,13578452.55
2023-02-08,2542.24,2550.37,2525.88,2522.53,11926153.0,-12.09,-0.48,2558.074,2575.619,2525.937,13471729.6,14099372.5,13641411.9
2023-02-07,2551.13,2557.38,2537.97,2522.55,12721528.0,-6.12,-0.24,2575.636,2577.421,2516.399,14187023.8,13906233.0,13630767.5
2023-02-06,2560.46,2560.46,2544.09,2523.71,14048576.0,-36.02,-1.4,2584.21,2578.179,2507.321,14574591.0,13770438.3,13642223.0
2023-02-03,2592.84,2606.0,2580.11,2551.83,12820227.0,-22.21,-0.85,2598.17,2577.722,2497.455,15823313.4,14221328.7,13375196.65
