date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2023-06-30,10897.42,11067.39,11026.59,10883.57,402735584.0,111.09,1.02,10943.758,11084.629,10971.984,393197587.2,408680076.8,402827913.6
2023-06-29,10909.08,10965.11,10915.5,10880.88,378096192.0,-10.82,-0.1,10950.166,11080.426,10960.347,395737305.6,410967715.2,402095123.2
2023-06-28,10947.89,10951.41,10926.32,10792.35,396002496.0,-51.76,-0.47,11028.136,11084.472,10958.049,404884121.6,412912816.0,403057368.0
2023-06-27,10879.49,10987.19,10978.08,10863.66,367359552.0,105.78,0.97,11097.682,11079.214,10952.838,411036128.0,413687116.8,402993593.6
2023-06-26,10963.62,11002.37,10872.3,10848.72,421794112.0,-186.33,-1.69,11163.372,11060.799,10949.416,422396640.0,417800393.6,402480292.8
2023-06-21,11262.84,11278.97,11058.63,11058.63,415434176.0,-246.72,-2.18,11225.5,11045.856,10950.63,424162566.4,412582140.8,400239496.0
2023-06-20,11260.15,11338.15,11305.35,11248.14,423830272.0,31.3,0.28,11210.686,11010.875,10943.715,426198124.8,405890771.2,396726113.6
2023-06-19,11305.78,11307.75,11274.05,11244.42,426762528.0,-32.48,-0.29,11140.808,10957.685,10929.077,420941510.4,405001596.8,392501118.4
2023-06-16,11194.55,11316.24,11306.53,11183.79,424162112.0,123.59,1.1,11060.746,10924.888,10921.726,416338105.6,399905520.0,388422865.6
2023-06-15,11011.95,11185.68,11182.94,11011.85,430623744.0,198.38,1.81,10958.226,10894.042,10910.968,413204147.2,398133993.6,384970809.6
2023-06-14,10976.51,11034.18,10984.56,10962.45,425611968.0,28.6,0.26,10866.212,10859.338,10905.735,401001715.2,396975750.4,381997955.2
2023-06-13,10855.44,10963.65,10955.96,10853.57,397547200.0,82.22,0.76,10811.064,10840.267,10911.061,385583417.6,393222531.2,377014115.2
2023-06-12,10769.02,10914.62,10873.74,10752.01,403745504.0,79.81,0.74,10774.562,10831.626,10918.226,389061683.2,393201920.0,374797520.0
2023-06-09,10733.52,10793.93,10793.93,10697.36,408492320.0,71.06,0.66,10789.03,10826.461,10933.47,383472934.4,392300070.4,373817561.6
2023-06-08,10710.91,10775.34,10722.87,10648.14,369611584.0,14.05,0.13,10829.858,10838.033,10944.055,383063840.0,387160192.0,371752294.4
2023-06-07,10783.31,10799.46,10708.82,10681.48,348520480.0,-64.63,-0.6,10852.464,10855.404,10965.038,392949785.6,387896851.2,372499188.8
2023-06-06,10928.51,10933.61,10773.45,10752.22,414938528.0,-172.63,-1.58,10869.47,10876.555,10986.607,400861644.8,387561456.0,374765569.6
